Id,LocationId,Status,ServiceStartDate
70,4,COLD_LEAD,2023-07-19 00:00:00+00:00
7598,114,LEAD,2026-01-08 00:00:00+00:00
10621,15,LEAD,
630,38,COLD_LEAD,
7771,114,LEAD,
7524,114,CHURN,2025-09-05 00:00:00+00:00
7240,41,LEAD,
3604,49,FREEMIUM,
69,4,COLD_LEAD,2023-07-19 00:00:00+00:00
128,4,CHURN,
9801,114,WARM_LEAD,2025-12-28 00:00:00+00:00
83,4,COLD_LEAD,2023-07-19 00:00:00+00:00
7493,16,LEAD,
1750,42,FREEMIUM,
2685,17,TRIAL,2025-12-04 00:00:00+00:00
61,4,COLD_LEAD,2023-07-19 00:00:00+00:00
7996,114,WARM_LEAD,2025-09-21 00:00:00+00:00
2575,63,WARM_LEAD,2025-12-10 00:00:00+00:00
179,7,COLD_LEAD,2023-08-20 00:00:00+00:00
577,11,COLD_LEAD,
524,17,TRIAL,2025-12-04 00:00:00+00:00
11433,195,LEAD,
126,4,TRIAL,
48,1,CHURN,
46,1,TRIAL,
87,4,CHURN,2025-12-31 00:00:00+00:00
81,4,CHURN,2025-06-04 00:00:00+00:00
11191,139,RECURRING_SUBSCRIPTION,
26,1,TRIAL,
29,1,TRIAL,
47,1,TRIAL,
91,4,CHURN,2024-08-25 00:00:00+00:00
11052,142,WARM_LEAD,
76,4,COLD_LEAD,2023-07-19 00:00:00+00:00
185,7,CHURN,2023-08-13 00:00:00+00:00
7967,114,WARM_LEAD,2025-10-26 00:00:00+00:00
75,4,TRIAL,2023-07-16 00:00:00+00:00
89,4,TRIAL,2023-07-16 00:00:00+00:00
2634,47,FREEMIUM,
22,1,CHURN,2026-02-15 00:00:00+00:00
212,4,TRIAL,2023-09-03 00:00:00+00:00
7668,97,WARM_LEAD,2025-10-26 00:00:00+00:00
136,4,CHURN,2023-08-06 00:00:00+00:00
2537,17,RECURRING_SUBSCRIPTION,2025-01-03 00:00:00+00:00
9961,139,RECURRING_SUBSCRIPTION,
758,17,TRIAL,2024-03-17 00:00:00+00:00
5209,1,COLD_LEAD,
5345,75,LEAD,
85,4,TRIAL,2023-07-16 00:00:00+00:00
11164,139,LEAD,
1395,48,FREEMIUM,
1396,48,FREEMIUM,
199,4,TRIAL,2023-09-03 00:00:00+00:00
332,5,RECURRING_SUBSCRIPTION,2023-09-24 00:00:00+00:00
11215,66,LEAD,2026-03-22 00:00:00+00:00
235,4,TRIAL,2023-10-22 00:00:00+00:00
3628,65,FREEMIUM,
11327,140,LEAD,
1081,17,FREEMIUM,
703,41,TRIAL,2024-03-03 00:00:00+00:00
86,4,COLD_LEAD,2023-07-16 00:00:00+00:00
1765,41,TRIAL,
11302,114,WARM_LEAD,
1420,7,TRIAL,2024-06-23 00:00:00+00:00
1751,1,COLD_LEAD,
8032,114,WARM_LEAD,2025-12-14 00:00:00+00:00
8066,114,LEAD,
8067,114,LEAD,
277,11,TRIAL,2023-12-10 00:00:00+00:00
236,11,TRIAL,2023-09-10 00:00:00+00:00
2538,61,FREEMIUM,
4569,17,FREEMIUM,
785,14,COLD_LEAD,
8068,114,LEAD,
759,17,CHURN,2024-03-24 00:00:00+00:00
11434,195,LEAD,
27,1,TRIAL,
3662,65,FREEMIUM,
321,1,CHURN,2023-09-17 00:00:00+00:00
796,7,CHURN,2024-04-07 00:00:00+00:00
223,7,CHURN,2023-10-08 00:00:00+00:00
11216,66,LEAD,
3694,65,FREEMIUM,
255,11,TRIAL,2023-10-08 00:00:00+00:00
167,7,CHURN,2023-08-06 00:00:00+00:00
254,4,CHURN,2023-09-10 00:00:00+00:00
7669,66,WARM_LEAD,2026-03-17 00:00:00+00:00
272,11,CHURN,2023-12-31 00:00:00+00:00
227,7,TRIAL,2023-08-27 00:00:00+00:00
36,1,CHURN,2023-08-13 00:00:00+00:00
3654,65,FREEMIUM,
3659,65,FREEMIUM,
275,11,CHURN,2023-09-10 00:00:00+00:00
546,11,TRIAL,2024-11-10 00:00:00+00:00
10334,139,RECURRING_SUBSCRIPTION,
11264,104,TRIAL,2026-03-22 00:00:00+00:00
11628,195,LEAD,
28,1,TRIAL,2023-12-03 00:00:00+00:00
2747,1,CHURN,2025-03-19 00:00:00+00:00
11345,92,LEAD,
11856,66,RECURRING_SUBSCRIPTION,
209,7,CHURN,2023-10-01 00:00:00+00:00
292,11,CHURN,2023-09-10 00:00:00+00:00
368,11,CHURN,2023-10-29 00:00:00+00:00
1121,48,FREEMIUM,
172,7,CHURN,2023-08-20 00:00:00+00:00
1156,9,FREEMIUM,2024-05-12 00:00:00+00:00
5396,64,TRIAL,2025-04-26 00:00:00+00:00
366,7,TRIAL,2023-10-22 00:00:00+00:00
525,5,COLD_LEAD,
419,7,TRIAL,2023-12-03 00:00:00+00:00
326,4,TRIAL,2023-09-24 00:00:00+00:00
369,7,TRIAL,2023-10-29 00:00:00+00:00
344,4,TRIAL,2023-10-08 00:00:00+00:00
297,1,TRIAL,2023-09-17 00:00:00+00:00
5346,75,WARM_LEAD,2025-05-04 00:00:00+00:00
5194,68,RECURRING_SUBSCRIPTION,2025-11-21 00:00:00+00:00
10744,77,WARM_LEAD,
1752,4,COLD_LEAD,
7760,120,RECURRING_SUBSCRIPTION,2025-09-09 00:00:00+00:00
917,41,WARM_LEAD,2024-07-10 00:00:00+00:00
9773,133,LEAD,
754,41,TRIAL,2024-03-17 00:00:00+00:00
1103,41,FREEMIUM,
346,7,CHURN,2023-10-08 00:00:00+00:00
8069,114,LEAD,
258,4,COLD_LEAD,
665,7,TRIAL,2024-03-31 00:00:00+00:00
5211,4,CHURN,2025-04-06 00:00:00+00:00
8114,114,LEAD,
566,5,COLD_LEAD,
9643,121,WARM_LEAD,
1326,42,TRIAL,2024-06-30 00:00:00+00:00
547,17,TRIAL,2024-01-21 00:00:00+00:00
327,11,CHURN,2023-09-24 00:00:00+00:00
2645,7,COLD_LEAD,
8074,114,LEAD,
548,1,CHURN,2024-01-21 00:00:00+00:00
925,17,TRIAL,2024-04-14 00:00:00+00:00
246,4,CHURN,
6325,17,LEAD,
3673,65,FREEMIUM,
619,15,FREEMIUM,
5822,76,WARM_LEAD,2025-11-20 00:00:00+00:00
3645,65,FREEMIUM,
1122,48,FREEMIUM,
3698,65,FREEMIUM,
382,4,CHURN,2023-11-05 00:00:00+00:00
9415,125,CHURN,
299,11,CHURN,2023-09-17 00:00:00+00:00
11435,135,CHURN,2026-04-07 00:00:00+00:00
325,7,CHURN,2023-09-24 00:00:00+00:00
11091,75,WARM_LEAD,
355,7,CHURN,2023-10-15 00:00:00+00:00
349,11,CHURN,2023-10-08 00:00:00+00:00
797,1,CHURN,2024-03-31 00:00:00+00:00
11732,119,ON_DEMAND_SUBSCRIPTION,
12007,196,TRIAL,2026-06-07 00:00:00+00:00
116,1,CHURN,2023-07-23 00:00:00+00:00
10181,142,LEAD,
735,15,TRIAL,2024-03-10 00:00:00+00:00
23,1,CHURN,2025-06-01 00:00:00+00:00
400,11,TRIAL,2023-12-03 00:00:00+00:00
459,11,TRIAL,2023-12-17 00:00:00+00:00
394,11,TRIAL,2023-11-12 00:00:00+00:00
63,4,CHURN,2023-07-16 00:00:00+00:00
