ApartmentId,Date,Value
570,2024-01-23 10:41:07.562+00,50
576,2024-01-23 10:51:00.353+00,50
640,2024-02-13 12:46:34.893+00,50
668,2024-02-17 19:12:44.34+00,100
697,2024-02-21 15:28:06.211+00,100
699,2024-02-21 16:42:37.138+00,100
703,2024-02-21 18:50:48.016+00,100
707,2024-02-21 20:18:25.694+00,100
708,2024-02-21 21:02:20.842+00,100
710,2024-02-21 22:40:34.337+00,100
711,2024-02-21 23:15:08.264+00,100
718,2024-02-26 10:26:17.735+00,50
722,2024-02-27 22:42:07.051+00,100
723,2024-02-27 23:40:23.872+00,100
724,2024-02-27 23:58:19.647+00,100
725,2024-02-28 00:03:59.611+00,100
726,2024-02-28 00:27:40.813+00,100
749,2024-03-10 16:33:20.906+00,100
754,2024-03-12 16:24:07.564+00,100
775,2024-03-13 21:28:02.608+00,100
777,2024-03-13 21:37:13.055+00,100
779,2024-03-13 22:22:22.029+00,100
780,2024-03-13 23:03:38.806+00,100
806,2024-03-25 15:28:46.764+00,144
940,2024-04-08 13:36:33.931+00,50
1033,2024-04-20 01:18:52.542+00,144
1043,2024-04-21 20:38:54.179+00,144
1059,2024-04-26 14:15:22.581+00,144
1066,2024-04-29 20:01:17.698+00,45
1067,2024-04-29 20:01:22.42+00,45
1068,2024-04-29 20:02:20.496+00,45
1069,2024-04-29 20:13:32.918+00,45
1070,2024-04-29 20:18:54.431+00,45
1071,2024-04-29 20:28:40.579+00,45
1076,2024-04-29 20:29:42.653+00,45
1081,2024-04-29 20:38:00.325+00,45
1084,2024-04-29 21:02:48.876+00,45
1086,2024-04-29 21:09:14.035+00,45
1087,2024-04-29 21:14:07.391+00,45
1088,2024-04-29 21:14:51.433+00,45
1089,2024-04-29 21:17:44.174+00,45
1092,2024-04-29 23:57:54.528+00,45
1093,2024-04-30 00:10:46.723+00,45
1094,2024-04-30 00:40:52.943+00,45
1095,2024-04-30 01:40:18.303+00,45
1097,2024-04-30 02:40:56.148+00,45
1098,2024-04-30 03:28:21.173+00,45
1099,2024-04-30 12:48:59.388+00,45
1100,2024-04-30 13:31:02.582+00,45
1101,2024-04-30 13:37:06.334+00,45
1103,2024-04-30 16:30:28.897+00,45
1105,2024-04-30 16:46:22.799+00,45
1111,2024-05-01 19:35:46.428+00,45
1138,2024-05-01 23:48:41.53+00,45
1139,2024-05-01 23:50:57.037+00,45
1140,2024-05-01 23:51:25.719+00,45
1141,2024-05-02 00:44:25.105+00,45
1145,2024-05-02 12:31:25.176+00,45
1147,2024-05-02 13:40:12.107+00,45
1148,2024-05-02 13:58:30.053+00,45
1149,2024-05-02 16:22:45.435+00,45
1151,2024-05-02 18:21:33.197+00,45
1152,2024-05-02 18:49:57.485+00,45
1154,2024-05-02 18:58:37.159+00,45
1156,2024-05-02 21:38:42.786+00,45
1159,2024-05-03 21:22:20.18+00,45
1160,2024-05-04 14:49:05.959+00,45
1165,2024-05-05 15:20:24.117+00,144
1166,2024-05-05 18:27:17.917+00,45
1176,2024-05-06 13:19:28.478+00,45
1253,2024-05-24 13:02:12.069+00,45
1256,2024-05-24 18:38:14.576+00,144
1261,2024-05-26 11:00:02.475+00,45
1263,2024-05-26 15:31:12.602+00,45
