Id,City,Project,Country,ApproximateNumberOfApartments,NeighborhoodId,neighbourhood,building_status
6,Jersey City,100 House,US,137.0,6,Hoboken Polygon,ACTIVE
125,Brooklyn,The Vitagraph,US,312.0,16,Floating NY 2,ACTIVE
221,Miami Beach,Mirador 1000,US,,13,Miami Beach Polygon,ACTIVE
142,Harrison,One Harrison,US,257.0,7,Harrison Polygon,ACTIVE
181,Key Biscayne,Key Colony 3 Emeraldbay,US,,2,The Ocean Club Polygon,INACTIVE
119,New York,535 W 43rd Street,US,280.0,4,Hell's Kitchen Polygon,ACTIVE
112,Brooklyn,Plank Road,US,312.0,11,Boerum Hill Polygon,ACTIVE
92,New York,The Buchanan,US,289.0,15,Floating NY 1,ACTIVE
199,Miami,1800 Club,US,,1,Edgewater Polygon,ACTIVE
15,New York,Silver Towers,US,1300.0,4,Hell's Kitchen Polygon,ACTIVE
260,New York,Cocoa Exchange,US,,9,Financial District Polygon,ACTIVE
212,Jersey City,39 New York Ave,US,,6,Hoboken Polygon,ACTIVE
151,Miami,Cite On The Bay,US,437.0,1,Edgewater Polygon,ACTIVE
191,Miami,2001 Biscayne Boulevard,US,436.0,1,Edgewater Polygon,ACTIVE
182,Key Biscayne,121 Crandon Boulevard,US,,2,The Ocean Club Polygon,INACTIVE
93,Brooklyn,Union Channel ,US,224.0,11,Boerum Hill Polygon,ACTIVE
56,Brooklyn,The Dime,US,177.0,10,Williamsburg Polygon,ACTIVE
94,Tel Aviv-Yafo,Gindi 4,IL,385.0,,,INACTIVE
64,London,Grove End Gardens,GB,271.0,,,INACTIVE
104,Miami,Midtown 5,US,400.0,17,Midtown 5,ACTIVE
147,Key Biscayne,Club Tower I,US,800.0,2,The Ocean Club Polygon,INACTIVE
139,Miami,Bay Parc Apartments,US,474.0,1,Edgewater Polygon,ACTIVE
47,Brooklyn,1 Boerum PL,US,138.0,16,Floating NY 2,ACTIVE
124,Brooklyn,The Kestrel,US,126.0,16,Floating NY 2,ACTIVE
111,Brooklyn,Brooklyn Crossing,US,858.0,11,Boerum Hill Polygon,ACTIVE
129,Brooklyn,544 Carroll,US,132.0,11,Boerum Hill Polygon,ACTIVE
204,Miami,1717 North Bayshore Drive,US,810.0,1,Edgewater Polygon,ACTIVE
51,Harrison,300 Somerset,US,275.0,7,Harrison Polygon,ACTIVE
211,Key Biscayne,Ocean Tower Two,US,,2,The Ocean Club Polygon,INACTIVE
