ApartmentId,StartDate,EndDate,PromotionType,PromotionValue
506,2023-12-27,2051-05-14,percentage,36.35
65,2023-08-06,2026-08-06,fixed,15.8
96,2023-08-06,2026-08-06,fixed,15.8
170,2023-08-06,2026-08-06,fixed,15.8
185,2023-08-06,2026-08-06,fixed,15.8
6205,2025-08-27,2030-01-01,fixed,13
296,2023-09-10,2026-07-21,percentage,36
261,2023-09-04,2026-07-21,percentage,100
262,2023-09-04,2026-07-21,percentage,100
264,2023-09-04,2026-07-21,percentage,36.35
265,2023-09-04,2026-07-21,percentage,25
266,2023-09-04,2026-07-21,percentage,25
267,2023-09-04,2026-07-21,percentage,25
271,2023-09-05,2026-07-21,percentage,25
289,2023-09-07,2026-07-21,percentage,100
289,2023-09-07,2026-07-21,percentage,25
291,2023-09-07,2026-07-21,percentage,36
261,2023-09-04,2026-07-21,percentage,44.5
300,2023-09-11,2026-07-21,percentage,25
308,2023-09-12,2026-07-21,percentage,36
318,2023-09-13,2026-07-21,percentage,25
319,2023-09-13,2026-07-21,percentage,25
323,2023-09-17,2026-07-21,percentage,36
332,2023-09-20,2026-07-21,percentage,36.35
332,2023-09-20,2026-07-21,percentage,100
341,2023-09-27,2026-07-21,percentage,36
351,2023-10-03,2026-07-21,percentage,36
354,2023-10-09,2026-07-21,percentage,36
360,2023-10-11,2026-07-21,percentage,36
362,2023-10-15,2026-07-21,percentage,36
367,2023-10-19,2026-07-21,percentage,25
371,2023-10-25,2026-07-21,percentage,25
373,2023-10-26,2026-07-21,percentage,36
561,2024-01-21,2051-06-08,percentage,36.35
384,2023-10-31,2026-07-21,percentage,100
385,2023-11-03,2026-07-21,percentage,49
285,2023-11-07,2026-07-21,percentage,36.35
393,2023-11-08,2026-07-21,percentage,12
284,2023-11-19,2026-07-21,percentage,44.5
432,2023-12-05,2051-04-22,percentage,15
562,2024-01-21,2051-06-08,percentage,36.35
508,2023-12-27,2051-05-14,percentage,36.35
403,2023-11-21,2051-04-08,percentage,44.5
566,2024-01-23,2051-06-10,percentage,36.35
577,2024-01-24,2051-06-11,percentage,36.35
11393,2026-05-13,2026-08-11,percentage,5
422,2023-12-01,2051-04-18,percentage,49
424,2023-12-01,2051-04-18,percentage,49
11393,2026-05-13,2026-08-11,percentage,5
583,2024-01-24,2051-06-11,percentage,15
425,2023-12-03,2051-04-20,percentage,36.35
427,2023-12-04,2051-04-21,percentage,15
370,2023-12-05,2051-04-22,percentage,15
448,2023-12-09,2051-04-26,percentage,15
508,2023-12-31,2051-05-18,percentage,36.35
462,2023-12-13,2051-04-30,percentage,36.35
454,2023-12-14,2051-05-01,percentage,36
467,2023-12-15,2051-05-02,percentage,15
469,2023-12-16,2051-05-03,percentage,15
567,2024-01-23,2051-06-10,percentage,36.35
437,2023-12-19,2051-05-06,percentage,36
390,2023-12-31,2051-05-18,percentage,44.5
487,2023-12-20,2051-05-07,percentage,36
381,2024-01-25,2051-06-12,percentage,36.35
345,2023-12-25,2051-05-12,percentage,36.35
3073,2025-04-14,2030-01-01,fixed,13
529,2024-01-10,2051-05-28,percentage,44.5
543,2024-01-14,2051-06-01,percentage,15
586,2024-01-29,2051-06-16,percentage,15
618,2024-02-02,2051-06-20,percentage,15
11822,2026-05-14,2026-08-12,percentage,5
11931,2026-05-14,2026-08-12,percentage,5
11931,2026-05-14,2026-08-12,percentage,5
1686,2026-04-28,2026-07-27,percentage,15
718,2024-02-26,2051-07-14,percentage,36.35
221,2026-05-14,2026-08-12,percentage,15
221,2026-05-14,2026-08-12,percentage,15
3719,2026-05-14,2026-08-12,percentage,15
640,2024-02-13,2051-07-01,percentage,36.35
4186,2026-04-25,2026-07-24,percentage,15
4186,2026-04-25,2026-07-24,percentage,15
11859,2026-05-15,2026-08-13,percentage,15
11945,2026-05-15,2026-08-13,percentage,5
11945,2026-05-15,2026-08-13,percentage,5
11807,2026-05-15,2026-08-13,percentage,5
11807,2026-05-15,2026-08-13,percentage,5
11795,2026-05-15,2026-08-13,percentage,15
9922,2026-05-15,2026-08-13,percentage,15
11873,2026-05-15,2026-08-13,percentage,5
694,2024-02-22,2051-07-10,percentage,15
9384,2025-11-22,2026-11-22,percentage,100
11320,2026-05-18,2026-08-16,percentage,5
11320,2026-05-18,2026-08-16,percentage,5
11797,2026-05-18,2026-08-16,percentage,5
11797,2026-05-18,2026-08-16,percentage,5
7846,2025-09-24,2026-09-24,percentage,100
596,2025-04-14,2030-01-01,fixed,13
635,2025-04-14,2030-01-01,fixed,13
563,2025-04-14,2030-01-01,fixed,13
1180,2025-04-14,2030-01-01,fixed,13
698,2025-04-14,2030-01-01,fixed,13
786,2025-04-14,2030-01-01,fixed,13
564,2025-04-14,2030-01-01,fixed,13
587,2025-04-14,2030-01-01,fixed,13
608,2025-04-14,2030-01-01,fixed,13
798,2025-04-14,2030-01-01,fixed,13
588,2025-04-14,2030-01-01,fixed,13
618,2025-04-14,2030-01-01,fixed,13
632,2025-04-14,2030-01-01,fixed,13
670,2025-04-14,2030-01-01,fixed,13
745,2025-04-14,2030-01-01,fixed,13
728,2025-04-14,2030-01-01,fixed,13
751,2025-04-14,2030-01-01,fixed,13
629,2025-04-14,2030-01-01,fixed,13
