ApartmentId,Price,CreatedAt,weekly_hours
102,55,2023-07-12 21:27:27.074+00,0.666666666666666
102,55,2023-07-12 21:27:26.666+00,0.666666666666666
8635,28,2026-01-21 14:45:39.594+00,0.666666666666666
8635,28,2026-01-21 14:45:39.594+00,0.666666666666666
3955,118,2025-03-26 22:04:29.11+00,2.25
7253,104,2025-09-18 13:06:19.062+00,2.25
261,146,2023-09-04 13:41:09.439+00,1.583333333333334
262,549,2023-09-04 13:54:56.554+00,3.50
261,443,2023-09-04 13:41:09.433+00,3.416666666666666
262,59,2023-09-04 13:54:56.556+00,0.416666666666666
102,55,2023-07-12 21:27:27.279+00,0.666666666666666
102,55,2023-07-12 21:27:26.871+00,0.666666666666666
332,40,2025-09-18 13:08:55.296+00,0.416666666666666
331,224,2023-09-20 09:04:41.459+00,1.916666666666666
331,224,2023-09-20 09:04:41.466+00,1.916666666666666
332,113,2023-09-20 15:52:25.248+00,1.083333333333334
332,94,2023-09-20 15:52:25.253+00,0.916666666666666
332,113,2023-09-20 15:52:25.237+00,1.083333333333334
289,154,2023-09-19 06:13:13.516+00,1.166666666666666
289,154,2023-09-19 06:13:13.507+00,1.166666666666666
289,154,2023-09-19 06:13:13.494+00,1.166666666666666
9752,113,2025-12-18 15:20:57.003+00,2.25
331,181,2023-10-26 08:06:35.643+00,1.416666666666666
331,181,2023-10-26 08:06:35.625+00,1.416666666666666
331,181,2023-10-26 08:06:35.648+00,1.416666666666666
371,145,2023-10-25 14:16:21.144+00,0.916666666666666
371,96,2023-10-25 12:24:59.021+00,0.916666666666666
8010,131,2025-09-14 07:57:10.588+00,2.583333333333332
9753,28,2025-12-18 15:23:45.254+00,0.666666666666666
8010,131,2025-09-14 07:57:10.588+00,2.583333333333332
8010,131,2025-09-14 07:57:10.588+00,2.583333333333332
2178,31,2024-09-18 20:30:20.578+00,0.666666666666664
8010,131,2025-09-14 07:57:10.588+00,2.583333333333332
11289,0,2026-04-14 04:50:51.972+00,0.416666666666666
11608,0,2026-05-07 17:24:09.661+00,0.416666666666666
11608,0,2026-05-07 17:24:09.661+00,0.416666666666666
8131,113,2025-09-18 14:37:47.727+00,2.25
6533,115,2026-03-22 23:44:44.172+00,1.91666666666667
8635,28,2026-01-21 14:45:39.594+00,0.666666666666666
8682,51,2026-02-23 00:40:02.885+00,1.0
371,96,2023-10-25 12:24:59.014+00,0.916666666666666
371,96,2023-10-25 12:24:59.004+00,0.916666666666666
427,112,2023-12-04 19:30:23.866+00,2.333333333333334
371,96,2023-10-25 12:24:59.027+00,0.916666666666666
371,145,2023-10-25 14:16:21.15+00,0.916666666666666
6738,15,2026-05-07 18:16:52.347+00,0.416666666666666
533,31,2026-06-16 22:49:35.122+00,0.666666666666666
7613,123,2026-05-22 18:33:21.215+00,2.25
7613,123,2026-05-22 18:33:21.215+00,2.25
8129,113,2025-09-18 14:38:56.582+00,2.25
508,234,2023-12-27 14:00:13.385+00,1.75
508,234,2023-12-27 14:00:13.391+00,1.75
1781,82,2024-08-19 20:05:23.014+00,1.666666666666666
508,22,2024-01-07 13:19:40.737+00,0.25
508,22,2024-01-07 13:19:40.737+00,0.25
11989,60,2026-05-24 10:36:10.908+00,1.25
11989,60,2026-05-24 10:36:10.908+00,1.25
11989,60,2026-05-24 10:36:10.908+00,1.25
11989,60,2026-05-24 10:36:10.908+00,1.25
533,31,2026-06-16 22:49:35.122+00,0.666666666666666
506,59,2024-08-20 12:45:16.912+00,0.416666666666666
506,71,2024-08-20 12:46:14.976+00,0.416666666666666
11989,28,2026-05-24 10:40:06.565+00,0.666666666666666
466,30,2024-03-07 19:47:12.917+00,0.92
11989,28,2026-05-24 10:40:06.565+00,0.666666666666666
289,154,2023-09-19 06:13:13.522+00,1.166666666666666
11989,28,2026-05-24 10:40:06.565+00,0.666666666666666
2156,210,2025-12-19 20:54:25.745+00,3.416666666666666
11989,28,2026-05-24 10:40:06.565+00,0.666666666666666
11989,28,2026-05-24 10:40:06.565+00,0.666666666666666
11989,28,2026-05-24 10:40:06.565+00,0.666666666666666
11989,28,2026-05-24 10:40:06.565+00,0.666666666666666
11989,28,2026-05-24 10:40:06.565+00,0.666666666666666
7746,28,2025-09-28 12:56:46.43+00,0.666666666666664
332,113,2023-09-20 15:52:25.243+00,1.083333333333334
261,50,2024-05-15 13:46:20.608+00,0.416666666666666
11885,181,2026-05-09 19:02:10.293+00,3.00
473,89,2024-06-04 20:03:16.869+00,2.166666666666668
11889,123,2026-05-10 01:57:22.74+00,2.25
7182,54,2025-08-22 21:44:33.471+00,1
9188,90,2026-05-11 04:06:42.045+00,1.6875
4407,26,2025-11-20 19:54:33.729+00,0.583333333333332
1704,179,2024-07-25 08:34:23.558+00,2.916666666666666
633,16,2024-08-21 19:34:06.771+00,0.42
2101,0,2026-05-11 15:24:18.649+00,0.416666666666666
2101,0,2026-05-11 15:24:18.649+00,0.416666666666668
