ApartmentId,OldStatus,NewStatus,CreatedAt
237,RECURRING_SUBSCRIPTION,CHURN,2024-01-05 14:09:06.096+00
364,RECURRING_SUBSCRIPTION,CHURN,2024-01-05 14:09:29.922+00
479,RECURRING_SUBSCRIPTION,CHURN,2024-01-05 16:53:54.657+00
313,RECURRING_SUBSCRIPTION,CHURN,2024-01-05 18:37:50.628+00
430,RECURRING_SUBSCRIPTION,FROZEN,2024-01-09 18:37:06.328+00
98,LEAD,COLD_LEAD,2024-01-09 19:24:49.038+00
97,LEAD,COLD_LEAD,2024-01-09 19:25:04.798+00
101,LEAD,COLD_LEAD,2024-01-09 19:25:13.652+00
104,LEAD,COLD_LEAD,2024-01-09 19:25:23.763+00
105,LEAD,COLD_LEAD,2024-01-09 19:25:32.384+00
106,LEAD,COLD_LEAD,2024-01-09 19:25:41.882+00
107,LEAD,COLD_LEAD,2024-01-09 19:25:51.368+00
131,LEAD,COLD_LEAD,2024-01-09 19:26:09.741+00
95,LEAD,COLD_LEAD,2024-01-09 19:26:19.743+00
100,LEAD,COLD_LEAD,2024-01-09 19:26:31.103+00
140,LEAD,COLD_LEAD,2024-01-09 19:26:40.985+00
148,LEAD,COLD_LEAD,2024-01-09 19:26:51.865+00
145,LEAD,COLD_LEAD,2024-01-09 19:27:01.662+00
147,LEAD,COLD_LEAD,2024-01-09 19:27:16.883+00
413,LEAD,COLD_LEAD,2024-01-09 19:27:30.584+00
160,LEAD,COLD_LEAD,2024-01-09 19:27:43.963+00
162,LEAD,COLD_LEAD,2024-01-09 19:27:56.647+00
159,LEAD,COLD_LEAD,2024-01-09 19:28:05.203+00
99,RECURRING_SUBSCRIPTION,FROZEN,2024-01-11 19:03:33.941+00
461,RECURRING_SUBSCRIPTION,FROZEN,2024-01-11 20:58:37.945+00
146,LEAD,COLD_LEAD,2024-01-11 21:24:28.727+00
135,LEAD,COLD_LEAD,2024-01-11 21:24:37.646+00
149,LEAD,COLD_LEAD,2024-01-11 21:24:49.193+00
536,LEAD,COLD_LEAD,2024-01-12 19:03:06.337+00
293,RECURRING_SUBSCRIPTION,FROZEN,2024-01-23 17:36:07.085+00
524,LEAD,COLD_LEAD,2024-01-23 20:22:54.565+00
523,LEAD,COLD_LEAD,2024-01-23 20:23:10.804+00
151,LEAD,COLD_LEAD,2024-01-23 20:23:23.294+00
108,LEAD,COLD_LEAD,2024-01-23 20:23:38.564+00
154,LEAD,COLD_LEAD,2024-01-23 20:23:47.884+00
184,LEAD,COLD_LEAD,2024-01-23 20:23:59.399+00
195,LEAD,COLD_LEAD,2024-01-23 20:24:11.131+00
268,LEAD,COLD_LEAD,2024-01-23 20:24:19.884+00
150,LEAD,COLD_LEAD,2024-01-23 20:24:36.645+00
158,LEAD,COLD_LEAD,2024-01-23 20:24:47.347+00
219,LEAD,COLD_LEAD,2024-01-23 20:24:55.963+00
270,LEAD,COLD_LEAD,2024-01-23 20:25:04.849+00
273,LEAD,COLD_LEAD,2024-01-23 20:25:19.188+00
157,LEAD,COLD_LEAD,2024-01-23 20:25:29.603+00
312,LEAD,COLD_LEAD,2024-01-23 20:25:38.368+00
302,LEAD,COLD_LEAD,2024-01-23 20:25:48.263+00
307,LEAD,COLD_LEAD,2024-01-23 20:25:58.783+00
322,LEAD,COLD_LEAD,2024-01-23 20:26:08.829+00
398,LEAD,COLD_LEAD,2024-01-23 20:26:36.526+00
304,LEAD,COLD_LEAD,2024-01-23 20:26:44.248+00
432,LEAD,COLD_LEAD,2024-01-23 20:27:05.625+00
198,LEAD,COLD_LEAD,2024-01-23 20:27:14.943+00
259,LEAD,COLD_LEAD,2024-01-23 20:27:23.662+00
354,LEAD,COLD_LEAD,2024-01-23 20:27:37.344+00
360,LEAD,COLD_LEAD,2024-01-23 20:27:46.853+00
337,LEAD,COLD_LEAD,2024-01-23 20:27:59.744+00
436,LEAD,COLD_LEAD,2024-01-23 20:28:10.197+00
348,LEAD,COLD_LEAD,2024-01-23 20:28:20.735+00
351,LEAD,COLD_LEAD,2024-01-23 20:28:29.363+00
362,LEAD,COLD_LEAD,2024-01-23 20:28:41.224+00
370,LEAD,COLD_LEAD,2024-01-23 20:28:51.623+00
359,LEAD,COLD_LEAD,2024-01-23 20:29:02.479+00
378,LEAD,COLD_LEAD,2024-01-23 20:29:11.303+00
379,LEAD,COLD_LEAD,2024-01-23 20:29:20.803+00
383,LEAD,COLD_LEAD,2024-01-23 20:29:29.722+00
385,LEAD,COLD_LEAD,2024-01-23 20:29:50.98+00
372,LEAD,COLD_LEAD,2024-01-23 20:29:59.723+00
454,LEAD,COLD_LEAD,2024-01-23 20:30:35.569+00
458,LEAD,COLD_LEAD,2024-01-23 20:30:57.588+00
363,LEAD,COLD_LEAD,2024-01-23 20:31:13.184+00
393,LEAD,COLD_LEAD,2024-01-23 20:31:23.863+00
323,LEAD,COLD_LEAD,2024-01-23 20:31:47.039+00
373,LEAD,COLD_LEAD,2024-01-23 20:32:03.103+00
377,LEAD,COLD_LEAD,2024-01-23 20:32:17.883+00
152,LEAD,COLD_LEAD,2024-01-23 20:33:08.503+00
141,LEAD,COLD_LEAD,2024-01-23 20:33:30.823+00
423,LEAD,COLD_LEAD,2024-01-23 20:33:51.965+00
467,LEAD,COLD_LEAD,2024-01-23 20:34:18.663+00
232,LEAD,COLD_LEAD,2024-01-21 21:31:45.595+00
380,RECURRING_SUBSCRIPTION,CHURN,2024-01-29 17:06:51.29+00
318,RECURRING_SUBSCRIPTION,CHURN,2024-01-29 17:11:33.762+00
590,LEAD,WARM_LEAD,2024-01-29 17:54:40.05+00
585,LEAD,WARM_LEAD,2024-01-29 18:44:48.47+00
582,LEAD,WARM_LEAD,2024-01-29 18:51:42.536+00
359,COLD_LEAD,WARM_LEAD,2024-01-29 22:11:53.107+00
601,LEAD,WARM_LEAD,2024-01-30 08:26:43.345+00
589,LEAD,WARM_LEAD,2024-01-30 16:45:50.53+00
592,LEAD,WARM_LEAD,2024-01-30 22:33:53.682+00
610,LEAD,WARM_LEAD,2024-01-31 09:35:37.436+00
611,LEAD,WARM_LEAD,2024-01-31 13:58:28.118+00
591,LEAD,WARM_LEAD,2024-01-31 18:02:36.708+00
605,LEAD,WARM_LEAD,2024-01-31 18:36:18.328+00
604,LEAD,WARM_LEAD,2024-01-31 18:55:27.909+00
616,LEAD,WARM_LEAD,2024-02-01 19:11:39.999+00
614,LEAD,WARM_LEAD,2024-02-01 20:04:30.138+00
