ApartmentId,EntityType,FinalPrice,Status,Date,CreatedAt
420,recurring,429,FINISHED,2023-12-18,2023-12-11 14:02:48.258+00
328,recurring,120,FINISHED,2023-12-27,2023-12-20 10:22:30.971+00
211,recurring,209,COMPLETED,2023-12-18,2023-12-17 11:03:11.287+00
116,recurring,319,FINISHED,2023-12-24,2023-12-24 00:08:57.387+00
66,recurring,85,FINISHED,2023-12-14,2023-12-13 18:34:10.757+00
460,recurring,52,COMPLETED,2023-12-13,2023-12-13 17:24:06.282+00
124,recurring,0,COMPLETED,2023-11-09,2023-11-08 16:03:53.387+00
953,recurring,78,FINISHED,2026-02-10,2026-02-10 13:45:09.033+00
434,ad-hoc,15,COMPLETED,2026-03-06,2026-03-06 16:22:08.29+00
11,ad-hoc,106,FINISHED,2026-01-26,2026-01-24 12:46:22.889+00
328,recurring,0,FINISHED,2023-12-18,2023-12-05 19:52:58.423+00
396,recurring,654,COMPLETED,2023-12-24,2023-12-08 14:48:22.231+00
2868,recurring,167,FINISHED,2026-05-08,2026-03-08 02:00:49.995+00
9598,recurring,14,COMPLETED,2026-02-04,2025-12-27 02:00:19.989+00
96,recurring,251,FINISHED,2023-10-02,2023-09-10 02:00:16.345+00
475,recurring,52,FINISHED,2024-02-13,2024-01-21 02:00:15.256+00
389,recurring,111,COMPLETED,2024-02-02,2024-01-30 20:17:02.349+00
434,recurring,78,COMPLETED,2024-01-19,2023-12-26 02:00:36.697+00
67,ad-hoc,36,FINISHED,2024-02-28,2024-02-26 15:52:39.589+00
5,recurring,319,FINISHED,2024-03-12,2024-03-11 12:01:20.955+00
498,recurring,372,FINISHED,2024-03-17,2024-02-29 14:40:29.474+00
67,recurring,319,FINISHED,2024-02-28,2024-02-26 15:52:35.661+00
447,recurring,69,COMPLETED,2024-02-22,2024-02-21 19:49:17.036+00
335,recurring,351,FINISHED,2024-02-28,2024-02-26 15:52:48.089+00
465,ad-hoc,26,FINISHED,2024-01-04,2024-01-04 13:11:31.525+00
328,recurring,156,FINISHED,2023-12-18,2023-12-05 19:53:53.78+00
66,recurring,85,FINISHED,2023-09-07,2023-08-13 02:00:13.006+00
93,recurring,295,FINISHED,2023-07-30,2023-07-13 15:12:34.867+00
9803,recurring,629,FINISHED,2026-01-26,2026-01-12 14:32:07.722+00
67,recurring,0,FINISHED,2024-01-24,2024-01-23 15:14:47.107+00
155,recurring,100,COMPLETED,2024-01-16,2024-01-16 14:16:03.213+00
440,recurring,164,COMPLETED,2024-02-06,2024-02-06 12:31:49.872+00
